date,event_id,tournament,category,surface,home,away,start_ts
2025-08-29,14494891,"US Open, New York, USA",ATP,,Adam Walton,Coleman Wong,1756391400
2025-08-29,14494890,"US Open, New York, USA",ATP,,Lorenzo Musetti,David Goffin,1756394100
2025-08-29,14494898,"US Open, New York, USA",ATP,,Tristan Boyer,Andrey Rublev,1756399500
2025-08-29,14494887,"US Open, New York, USA",ATP,,Zizou Bergs,Jack Draper,1756386000
2025-08-29,14494886,"US Open, New York, USA",ATP,,Jenson Brooksby,Flavio Cobolli,1756390200
2025-08-29,14494880,"US Open, New York, USA",ATP,,Karen Khachanov,Kamil Majchrzak,1756404600
2025-08-29,14494884,"US Open, New York, USA",ATP,,Leandro Riedi,Francisco Cerundolo,1756388400
2025-08-29,14494885,"US Open, New York, USA",ATP,,Valentin Royer,Denis Shapovalov,1756390200
2025-08-29,14494893,"US Open, New York, USA",ATP,,Jannik Sinner,Alexei Popyrin,1756406400
2025-08-29,14494899,"US Open, New York, USA",ATP,,Gabriel Diallo,Jaume Munar,1756402500
2025-08-29,14494888,"US Open, New York, USA",ATP,,Alexander Bublik,Tristan Schoolkate,1756403100
2025-08-29,14494881,"US Open, New York, USA",ATP,,Roman Safiullin,Felix Auger-Aliassime,1756414800
2025-08-29,14494892,"US Open, New York, USA",ATP,,Stefanos Tsitsipas,Daniel Altmaier,1756405500
2025-08-29,14494897,"US Open, New York, USA",ATP,,Shintaro Mochizuki,Alex de Minaur,1756410300
2025-08-29,14494883,"US Open, New York, USA",ATP,,Alexander Zverev,Jacob Fearnley,1756413900
2025-08-29,14494895,"US Open, New York, USA",ATP,,Nuno Borges,Tommy Paul,1756423500
2025-08-29,14494910,"US Open, New York, USA",ATP,,Ben Shelton,Adrian Mannarino,1756473300
2025-08-29,14494912,"US Open, New York, USA",ATP,,Benjamin Bonzi,Arthur Rinderknech,1756475100
2025-08-29,14494914,"US Open, New York, USA",ATP,,Frances Tiafoe,Jan-Lennard Struff,1756485900
2025-08-29,14494911,"US Open, New York, USA",ATP,,Jerome Kym,Taylor Fritz,1756475100
2025-08-29,14494916,"US Open, New York, USA",ATP,,Jiri Lehecka,Raphael Collignon,1756479600
2025-08-29,14494941,"US Open, New York, USA",ATP,,Luciano Darderi,Carlos Alcaraz,1756485000
2025-08-29,14494921,"US Open, New York, USA",ATP,,Novak Djokovic,Cameron Norrie,1756472400
2025-08-29,14494920,"US Open, New York, USA",ATP,,Ugo Blanchet,Tomas Machac,1756478700
2025-08-29,14494990,"US Open, New York, USA",WTA,,Anna Kalinskaya,Yulia Putintseva,1756402200
2025-08-29,14494982,"US Open, New York, USA",WTA,,Beatriz Haddad Maia,Viktorija Golubic,1756400400
2025-08-29,14495028,"US Open, New York, USA",WTA,,Ekaterina Alexandrova,Xinyu Wang,1756393200
2025-08-29,14494980,"US Open, New York, USA",WTA,,Linda Noskova,Eva Lys,1756395900
2025-08-29,14494971,"US Open, New York, USA",WTA,,Maria Sakkari,Anna Bondar,1756397700
2025-08-29,14494981,"US Open, New York, USA",WTA,,Suzan Lamens,Iga Swiatek,1756390500
2025-08-29,14494995,"US Open, New York, USA",WTA,,Zeynep Sonmez,Marta Kostyuk,1756401000
2025-08-29,14494986,"US Open, New York, USA",WTA,,Magdalena Frech,Peyton Stearns,1756389600
2025-08-29,14494976,"US Open, New York, USA",WTA,,Anastasia Zakharova,Laura Siegemund,1756396500
2025-08-29,14495030,"US Open, New York, USA",WTA,,Hailey Baptiste,Naomi Osaka,1756406400
2025-08-29,14494973,"US Open, New York, USA",WTA,,Sorana Cirstea,Karolina Muchova,1756393800
2025-08-29,14495031,"US Open, New York, USA",WTA,,Daria Kasatkina,Kamilla Rakhimova,1756403400
2025-08-29,14494974,"US Open, New York, USA",WTA,,Jaqueline Cristian,Ashlyn Krueger,1756400700
2025-08-29,14494977,"US Open, New York, USA",WTA,,Renata Zarazua,Diane Parry,1756406100
2025-08-29,14494972,"US Open, New York, USA",WTA,,Donna Vekić,Coco Gauff,1756423800
2025-08-29,14494970,"US Open, New York, USA",WTA,,Amanda Anisimova,Maya Joint,1756428000
2025-08-29,14494993,"US Open, New York, USA",WTA,,Aryna Sabalenka,Leylah Fernandez,1756485900
2025-08-29,14494991,"US Open, New York, USA",WTA,,Elena Rybakina,Emma Raducanu,1756476000
2025-08-29,14494997,"US Open, New York, USA",WTA,,Elise Mertens,Cristina Bucsa,1756487700
2025-08-29,14494985,"US Open, New York, USA",WTA,,Emma Navarro,Barbora Krejcikova,1756486800
2025-08-29,14494988,"US Open, New York, USA",WTA,,Jessica Pegula,Victoria Azarenka,1756476900
2025-08-29,14494992,"US Open, New York, USA",WTA,,Marketa Vondrousova,Jasmine Paolini,1756480500
2025-08-29,14494983,"US Open, New York, USA",WTA,,Priscilla Hon,Ann Li,1756472400
2025-08-29,14494987,"US Open, New York, USA",WTA,,Taylor Townsend,Mirra Andreeva,1756476900
2025-08-29,14560210,"US Open, New York, USA, Doubles",ATP,,Andreozzi G / Guinard M,Mektić N / Ram R,1756479600
2025-08-29,14560223,"US Open, New York, USA, Doubles",ATP,,Arneodo R / Bopanna R,Cash R / Tracy J,1756480500
2025-08-29,14560203,"US Open, New York, USA, Doubles",ATP,,Balaji N S / Bollipalli R C,Kirkov V / Stevens B,1756471500
2025-08-29,14560218,"US Open, New York, USA, Doubles",ATP,,Bellucci M / Marozsan F,Arends S / Johnson L,1756476000
2025-08-29,14560209,"US Open, New York, USA, Doubles",ATP,,Bhambri Y / Venus M,Giron M / Tien L,1756483200
2025-08-29,14560208,"US Open, New York, USA, Doubles",ATP,,Borges N / Rinderknech A,Holt B / Smith C,1756482300
2025-08-29,14560212,"US Open, New York, USA, Doubles",ATP,,Bublik A / Demoliner M,Romboli F / Smith J-P,1756484100
2025-08-29,14560217,"US Open, New York, USA, Doubles",ATP,,Cabral F / Miedler L,Barrientos N / Lammons N,1756486800
2025-08-29,14560229,"US Open, New York, USA, Doubles",ATP,,Cash J / Glasspool L,Erler A / Galloway R,1756476900
2025-08-29,14560201,"US Open, New York, USA, Doubles",ATP,,Ebden M / Thompson J,Cerundolo F / Gomez F.,1756474200
2025-08-29,14560219,"US Open, New York, USA, Doubles",ATP,,Etcheverry T / Ugo Carabelli C,Dzumhur D / Kovacevic A,1756479600
2025-08-29,14560228,"US Open, New York, USA, Doubles",ATP,,Fearnley J / Majchrzak K,Schnaitter J / Wallner M,1756486800
2025-08-29,14560204,"US Open, New York, USA, Doubles",ATP,,Goffin D / Muller A,Exsted M / Woestendick C,1756485900
2025-08-29,14560225,"US Open, New York, USA, Doubles",ATP,,Gonzalez M / Molteni A,Gonzalez S / Krajicek A,1756470600
2025-08-29,14560226,"US Open, New York, USA, Doubles",ATP,,Goransson A / Verbeek S,Doumbia S / Reboul F,1756471500
2025-08-29,14560213,"US Open, New York, USA, Doubles",ATP,,Harrison C / King E,Altmaier D / Martinez L,1756477800
2025-08-29,14560221,"US Open, New York, USA, Doubles",ATP,,Heliovaara H / Patten H,Frantzen C / Haase R,1756485900
2025-08-29,14560198,"US Open, New York, USA, Doubles",ATP,,Hidalgo D / Kadhe A,Arevalo M / Pavic M,1756481400
2025-08-29,14560202,"US Open, New York, USA, Doubles",ATP,,Hijikata R / Pel D,Nys H / Roger-Vasselin E,1756472400
2025-08-29,14560211,"US Open, New York, USA, Doubles",ATP,,Ho R / Jebens H,Boyer T / Nava E,1756481400
2025-08-29,14560214,"US Open, New York, USA, Doubles",ATP,,Kecmanovic M / Medjedovic H,Granollers M / Zeballos H,1756478700
2025-08-29,14560220,"US Open, New York, USA, Doubles",ATP,,Luz O / Olivetti A,Mannarino A / Ruusuvuori E,1756486800
2025-08-29,14560206,"US Open, New York, USA, Doubles",ATP,,Mahut N / Mpetshi Perricard G,Krawietz K / Puetz T,1756477800
2025-08-29,14560222,"US Open, New York, USA, Doubles",ATP,,Martínez P / Munar J,Bolelli S / Vavassori A,1756479600
2025-08-29,14560227,"US Open, New York, USA, Doubles",ATP,,Matos R / Melo M,Dodig I / Murray J,1756474200
2025-08-29,14560215,"US Open, New York, USA, Doubles",ATP,,Mcdonald M / Quinn E,Hilderbrand T / Trhac P,1756478700
2025-08-29,14560216,"US Open, New York, USA, Doubles",ATP,,Pavlasek A / Zielinski J,Behar A / Vliegen J,1756484100
2025-08-29,14560200,"US Open, New York, USA, Doubles",ATP,,Peers J / Withrow J,Bergs Z / Collignon R,1756479600
2025-08-29,14560199,"US Open, New York, USA, Doubles",ATP,,Romios M C / Seggerman R,Machac T / Vocel M,1756477800
2025-08-29,14560205,"US Open, New York, USA, Doubles",ATP,,Salisbury J / Skupski N,Goldhoff G / Stalder R,1756476900
2025-08-29,14560224,"US Open, New York, USA, Doubles",ATP,,T. Arribage / B. Bonzi,Darderi L / Schoolkate T,1756483200
2025-08-29,14560207,"US Open, New York, USA, Doubles",ATP,,Williams C / Winegar T,Nouza P / Rikl P,1756473300
2025-08-29,14552691,"US Open, New York, USA, Doubles",WTA,,Brantmeier R / Hamilton A,Frodin T / Penickova K,1756389600
2025-08-29,14552694,"US Open, New York, USA, Doubles",WTA,,Eikeri U / Hozumi E,Kalashnikova O / Starodubtseva Y,1756390500
2025-08-29,14552677,"US Open, New York, USA, Doubles",WTA,,Lumsden M / Ninomiya M,Gleason Q / Martins I,1756400400
2025-08-29,14552683,"US Open, New York, USA, Doubles",WTA,,Guo H / Panova A,Detiuc A / Pridankina E,1756402800
2025-08-29,14552699,"US Open, New York, USA, Doubles",WTA,,Parks A / Yastremska D,Birrell K / Gadecki O,1756391100
2025-08-29,14552680,"US Open, New York, USA, Doubles",WTA,,Krejcikova B / Ostapenko J,Babos T / Stefani L,1756404300
2025-08-29,14552700,"US Open, New York, USA, Doubles",WTA,,Siniakova K / Townsend T,Kichenok N / Sutjiadi A,1756409700
2025-08-29,14552692,"US Open, New York, USA, Doubles",WTA,,Kudermetova V / Mertens E,Lamens S / Lys E,1756393800
2025-08-29,14552676,"US Open, New York, USA, Doubles",WTA,,Skoch M / Vondroušová M,Dabrowski G / Routliffe E,1756408800
2025-08-29,14552684,"US Open, New York, USA, Doubles",WTA,,Dart H / Putintseva Y,Andreeva M / Shnaider D,1756409400
2025-08-29,14552668,"US Open, New York, USA, Doubles",WTA,,Boisson L / Maria T,Errani S / Paolini J,1756410300
2025-08-29,14552687,"US Open, New York, USA, Doubles",WTA,,Golubic V / Li A,Bronzetti L / Piter K,1756408500
2025-08-29,14552693,"US Open, New York, USA, Doubles",WTA,,Fernandez L A / Williams V,Kichenok L / Perez E,1756413900
2025-08-29,14552681,"US Open, New York, USA, Doubles",WTA,,Kempen M / Sherif Ahmed Abdelaziz M,Jovic I / Ngounoue C,1756413000
2025-08-29,14552698,"US Open, New York, USA, Doubles",WTA,,Blinkova A / Frech M,Kudermetova P / Potapova A,1756412100
2025-08-29,14552682,"US Open, New York, USA, Doubles",WTA,,Xu Y / Yang Z,Pareja J / Urhobo A,1756413900
2025-08-29,14552685,"US Open, New York, USA, Doubles",WTA,,Baptiste H / Osuigwe W,Hunter S / Krawczyk D,1756473300
2025-08-29,14552695,"US Open, New York, USA, Doubles",WTA,,Boulter K / Kartal S,S. Santamaria / Q. Tang,1756476000
2025-08-29,14552690,"US Open, New York, USA, Doubles",WTA,,Bouzas Maneiro J / Cocciaretto E,Kostyuk M / Ruse E,1756470600
2025-08-29,14552679,"US Open, New York, USA, Doubles",WTA,,Bucsa C / Melichar-Martinez N,Hsieh S-W / Krueger A,1756473300
2025-08-29,14552688,"US Open, New York, USA, Doubles",WTA,,Chan H-C / Jiang X,Aoyama S / Wang Y,1756483200
2025-08-29,14552678,"US Open, New York, USA, Doubles",WTA,,Dolehide C / Kenin S,Linette M / Shibahara E,1756486800
2025-08-29,14552689,"US Open, New York, USA, Doubles",WTA,,Joint M / Mcnally C,Haddad Maia B / Siegemund L,1756480500
2025-08-29,14552670,"US Open, New York, USA, Doubles",WTA,,Kato M / Zarazua R,Masarova R / Pavlyuchenkova A,1756471500
2025-08-29,14552669,"US Open, New York, USA, Doubles",WTA,,Kessler M / Stearns P,Cirstea S / Kalinskaya A,1756475100
2025-08-29,14552671,"US Open, New York, USA, Doubles",WTA,,Khromacheva I / Rakhimova K,Stollar F / Wu F,1756474200
2025-08-29,14552675,"US Open, New York, USA, Doubles",WTA,,Muhammad A / Schuurs D,Corley C / Corley I,1756486800
2025-08-29,14552673,"US Open, New York, USA, Doubles",WTA,,Niculescu M / Sevastova A,Zheng S / Zhu L,1756470600
2025-08-29,14552674,"US Open, New York, USA, Doubles",WTA,,Olmos G / Siskova A,Sramkova R / Noskova L,1756476900
2025-08-29,14552697,"US Open, New York, USA, Doubles",WTA,,Osorio C / Yuan Y,Mihalikova T / Nicholls O,1756479600
2025-08-29,14552672,"US Open, New York, USA, Doubles",WTA,,Ruzic A / Schoofs B,Danilina A / Krunic A,1756485900
2025-08-29,14552696,"US Open, New York, USA, Doubles",WTA,,Zhang S / Alexandrova E,Cristian J A / Moratelli A,1756480500
2025-08-29,14487487,"Como, Italy",Challenger,,Gonzalo Bueno,Henri Squire,1756390500
2025-08-29,14487481,"Como, Italy",Challenger,,Luka Mikrut,Carlo Alberto Caniato,1756381500
2025-08-29,14487476,"Como, Italy",Challenger,,Raul Brancaccio,Alvaro Guillen Meza,1756377900
2025-08-29,14487488,"Como, Italy",Challenger,,Nicolai Budkov Kjaer,Giovanni Fonio,1756397400
2025-08-29,14487475,"Como, Italy",Challenger,,Duje Ajduković,Thiago Monteiro,1756472400
2025-08-29,14487486,"Como, Italy",Challenger,,Juan Bautista Torres,Jacopo Berrettini,1756467900
2025-08-29,14487594,"Manacor, Spain",Challenger,,Jay Dylan Hara Friend,Valentin Vacherot,1756378800
2025-08-29,14487592,"Manacor, Spain",Challenger,,Sascha Gueymard Wayenburg,Edas Butvilas,1756392300
2025-08-29,14487597,"Manacor, Spain",Challenger,,Stuart Parker,Jakub Paul,1756384200
2025-08-29,14487602,"Manacor, Spain",Challenger,,Daniel Masur,Alberto Barroso Campos,1756386600
2025-08-29,14487595,"Manacor, Spain",Challenger,,Harold Mayot,Adria Soriano Barrera,1756392000
2025-08-29,14487593,"Manacor, Spain",Challenger,,Justin Engel,Jurij Rodionov,1756390200
2025-08-29,14487599,"Manacor, Spain",Challenger,,Eliakim Coulibaly,Miguel Tobon,1756403400
2025-08-29,14487601,"Manacor, Spain",Challenger,,Hamish Stewart,Daniel Rincon,1756398900
2025-08-29,14487557,"Zhangjiagang, China",Challenger,,Ilia Simakin,Sho Shimabukuro,1756458000
2025-08-29,14487551,"Zhangjiagang, China",Challenger,,Yasutaka Uchiyama,Kaichi Uchida,1756446300
2025-08-29,14487556,"Zhangjiagang, China",Challenger,,Renta Tokuda,Oliver Crawford,1756467600
2025-08-29,14487554,"Zhangjiagang, China",Challenger,,Sanhui Shin,Kokoro Isomura,1756465800
2025-08-29,14487515,"Porto 2, Portugal",Challenger,,David Jorda Sanchis,Mika Brunold,1756373400
2025-08-29,14487530,"Porto 2, Portugal",Challenger,,Francisco Rocha,Guy Den Ouden,1756391700
2025-08-29,14487516,"Porto 2, Portugal",Challenger,,Frederico Ferreira Silva,Tiago Torres,1756396800
2025-08-29,14487528,"Porto 2, Portugal",Challenger,,Nicolas Alvarez Varona,Gilles Arnaud Bailly,1756460700
2025-08-29,14487520,"Porto 2, Portugal",Challenger,,Nikolas Sanchez Izquierdo,Alejandro Moro Canas,1756458000
2025-08-29,14487490,"Como, Italy, Doubles",Challenger,,Martin A / Prihodko O,Cukierman D / Ingildsen J,1756389000
2025-08-29,14487495,"Como, Italy, Doubles",Challenger,,Cornea V / Rodriguez Taverna S,Latinovic S / Ruehl T,1756386600
2025-08-29,14487493,"Como, Italy, Doubles",Challenger,,Matuszewski P / Veldheer M,Barnat J / Duda F,1756383900
2025-08-29,14487492,"Como, Italy, Doubles",Challenger,,Feldbausch K / Jacq G,Liutarevich I / Ricca G,1756445400
2025-08-29,14487609,"Manacor, Spain, Doubles",Challenger,,Barroso Campos A / Soriano Barrera A,Alcantara F C / Loof T,1756388400
2025-08-29,14487610,"Manacor, Spain, Doubles",Challenger,,Pichler D / Rodionov J,Gengel M / Poljak D,1756398600
2025-08-29,14487563,"Zhangjiagang, China, Doubles",Challenger,,Castelnuovo L / Santillan A,Kusuhara Y / Uchida K,1756382400
2025-08-29,14487565,"Zhangjiagang, China, Doubles",Challenger,,Isaro PR / Kaliyanda Poonacha N,Imamura M / Noguchi R,1756373700
2025-08-29,14487564,"Zhangjiagang, China, Doubles",Challenger,,Castelnuovo L / Santillan A,Nam Ji / Yuzuki T,1756457400
2025-08-29,14487525,"Porto 2, Portugal, Doubles",Challenger,,Hermans M / Poljicak M,Kielan S / Pieczonka F,1756393800
2025-08-29,14487523,"Porto 2, Portugal, Doubles",Challenger,,Sabanov I / Sabanov M,Duncan S / Hands T,1756390800
2025-08-29,14487514,"Porto 2, Portugal, Doubles",Challenger,,Merino A / Negritu C,Rocha F / Rocha H,1756383900
2025-08-29,14558728,ITF M15 Allershausen Men,ITF Men,,Christian Wedel,Imanol Lopez Morillo,1756375200
2025-08-29,14558729,ITF M15 Allershausen Men,ITF Men,,Sydney Zick,Adrian Oetzbach,1756377000
2025-08-29,14558731,ITF M15 Allershausen Men,ITF Men,,Hazem Naw,Louis Van Herck,1756387800
2025-08-29,14558730,ITF M15 Allershausen Men,ITF Men,,Mika Lipp,Flavio Bocci,1756388700
2025-08-29,14558514,ITF M15 Bucharest 4 Men,ITF Men,,Uladzimir Ignatik,Cezar Cretu,1756377000
2025-08-29,14559643,ITF M15 Budapest Men,ITF Men,,Pietro Fellin,Attila Dominik Boros,1756386900
2025-08-29,14557793,ITF M15 Budapest Men,ITF Men,,Pietro Orlando Fellin,Attila Dominik Boros,1756387800
2025-08-29,14558607,ITF M15 Budapest Men,ITF Men,,Seydina Andre,Liam Broady,1756374300
2025-08-29,14553197,ITF M15 Cap d'Agde Men,ITF Men,,Amaury Raynel,Damien Salvestre,1756385100
2025-08-29,14558743,ITF M15 Cap d'Agde Men,ITF Men,,Constantin Bittoun Kouzmine,Aaron Gil Garcia,1756371600
2025-08-29,14553200,ITF M15 Cap d'Agde Men,ITF Men,,Tomas Rengel Sierra,Maxime Chazal,1756377900
2025-08-29,14558751,ITF M15 Forli Men,ITF Men,,Daniele Rapagnetta,Lorenzo Beraldo,1756384200
2025-08-29,14558750,ITF M15 Forli Men,ITF Men,,Kasra Rahmani,Pietro Romeo Scomparin,1756369800
2025-08-29,14558752,ITF M15 Forli Men,ITF Men,,Giovanni Oradini,Jacopo Bilardo,1756375200
2025-08-29,14558753,ITF M15 Forli Men,ITF Men,,Samuele Pieri,Nicola Rispoli,1756371600
2025-08-29,14558547,ITF M15 Monastir 34 Men,ITF Men,,Mohamed Nazim Makhlouf,Samir Hamza Reguig,1756372500
2025-08-29,14558545,ITF M15 Monastir 34 Men,ITF Men,,Nicolas Jadoun,Bogdan Seleznev,1756368900
2025-08-29,14558546,ITF M15 Monastir 34 Men,ITF Men,,Stephane Pierre-Jo Kamendje,Maxence Rivet,1756372500
2025-08-29,14558770,ITF M15 Vienna Men,ITF Men,,Radovan Michalik,Aleksandr Braynin,1756387800
2025-08-29,14558771,ITF M15 Vienna Men,ITF Men,,Alen Mujakic,Patrick Jozwicki,1756375200
2025-08-29,14558404,ITF M25 Oldenzaal Men,ITF Men,,John Sperle,Eric Vanshelboim,1756371600
2025-08-29,14558913,ITF M25 Oldenzaal Men,ITF Men,,Buvaysar Gadamauri,Kylian Collignon,1756377900
2025-08-29,14558445,ITF M25 Oviedo Men,ITF Men,,Carlos López Montagud,Javier Barranco Cosano,1756457100
2025-08-29,14558442,ITF M25 Oviedo Men,ITF Men,,Gerard Campana Lee,P. Vives Marcos,1756445400
2025-08-29,14558444,ITF M25 Oviedo Men,ITF Men,,Lorenzo Giustino,Ivan Marrero Curbelo,1756449900
2025-08-29,14558443,ITF M25 Oviedo Men,ITF Men,,Michiel De Krom,Miguel Damas,1756445400
2025-08-29,14562117,ITF M25 Taipei 2 Men,ITF Men,,Dane Sweeny,Soonwoo Kwon,1756437300
2025-08-29,14562118,ITF M25 Taipei 2 Men,ITF Men,,Matthew Dellavedova,Yanki Erel,1756439100
2025-08-29,14564354,ITF M25 Taipei 2 Men,ITF Men,,Yan Cheng Chen,Ryuki Matsuda,1756441800
2025-08-29,14562407,ITF M25 Taipei 2 Men,ITF Men,,Yuki Mochizuki,Charles Broom,1756436400
2025-08-29,14558367,ITF M25 Trelew Men,ITF Men,,Fernando Cavallo,Gonzalo Villanueva,1756386900
2025-08-29,14558911,ITF M25 Trelew Men,ITF Men,,Hernan Casanova,Lautaro Agustin Falabella,1756387800
2025-08-29,14559331,ITF M25 Trelew Men,ITF Men,,Juan Manuel La Serna,Santiago De la Fuente,1756392300
2025-08-29,14559007,ITF M25 Trelew Men,ITF Men,,Nicolas Villalon,Samir Banerjee,1756401300
2025-08-29,14558891,ITF W15 Kaltenkirchen Women,ITF Women,,Claudia Gasparovic,Tamila Gadamauri,1756381500
2025-08-29,14558893,ITF W15 Kaltenkirchen Women,ITF Women,,Filippa Stieg,Marie Mettraux,1756385100
2025-08-29,14558897,ITF W15 Kaltenkirchen Women,ITF Women,,Liel Rothensteiner,Polina Skliar,1756378800
2025-08-29,14558896,ITF W15 Kaltenkirchen Women,ITF Women,,Marta Soriano Santiago,Julia Victoria Rennert,1756373400
2025-08-29,14558892,ITF W15 Kaltenkirchen Women,ITF Women,,Phillippa Preugschat,Andrea Petkovic,1756386900
2025-08-29,14559659,ITF W15 Kaltenkirchen Women,ITF Women,,Phillippa Preugschat,Anna Petkovic,1756387800
2025-08-29,14558890,ITF W15 Kaltenkirchen Women,ITF Women,,Tessa Johanna Brockmann,Philippa Faerber,1756384200
2025-08-29,14558894,ITF W15 Kaltenkirchen Women,ITF Women,,Barbora Michalkova,Laura Böhner,1756387800
2025-08-29,14558895,ITF W15 Kaltenkirchen Women,ITF Women,,Johanna Silva,Ella Haavisto,1756380600
2025-08-29,14564321,ITF W15 Luan 7 Women,ITF Women,,Jana Kolodynska,Kayo Nishimura,1756425600
2025-08-29,14564323,ITF W15 Luan 7 Women,ITF Women,,Jiaqi Wang,Yufei Ren,1756421100
2025-08-29,14564322,ITF W15 Luan 7 Women,ITF Women,,Meng Yi Chen,Yanan Hou,1756423800
2025-08-29,14564333,ITF W15 Luan 7 Women,ITF Women,,Shiho Tsujioka,Meiling Wang,1756436400
2025-08-29,14558874,ITF W15 Monastir 33 Women,ITF Women,,Carolyn Ansari,Sofia Alekseeva,1756371600
2025-08-29,14558877,ITF W15 Monastir 33 Women,ITF Women,,Caterina Odorizzi,Clarissa Blomqvist,1756380600
2025-08-29,14558876,ITF W15 Monastir 33 Women,ITF Women,,Lan Mi,Sasha Natalie Chimedza,1756375200
